 ,Label,Area,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
129,,0.006,0.273,0.142,5.387,2.823,63.435,0.091,1.578,0.634,0.737
172,,0.011,0.663,0.142,5.473,3,129.806,0.113,1.236,0.809,0.902
174,,0.007,0.689,0.142,6.662,3.141,82.648,0.073,1.876,0.533,0.879
314,,0.009,0.731,0.142,2.101,3.98,39.806,0.1,1.358,0.736,0.908
315,,0.009,0.806,0.142,2.973,3.885,106.699,0.093,1.467,0.682,0.91
336,,0.009,0.788,0.142,2.16,4.189,73.301,0.088,1.652,0.605,0.929
68,,0.009,0.738,0.143,1.23,2.21,169.046,0.087,1.613,0.62,0.892
69,,0.006,0.383,0.143,6.508,2.183,100.954,0.071,2.439,0.41,0.759
73,,0.009,0.748,0.143,5.446,2.237,100.954,0.095,1.502,0.666,0.9
224,,0.009,0.81,0.143,3.953,3.295,127.235,0.104,1.291,0.775,0.948
266,,0.012,0.813,0.143,5.573,3.676,79.046,0.115,1.238,0.808,0.921
363,,0.01,0.848,0.143,4.752,4.425,37.235,0.103,1.352,0.74,0.931
375,,0.007,0.34,0.143,4.91,4.402,100.954,0.077,1.946,0.514,0.801
388,,0.008,0.69,0.143,2.655,4.547,170.838,0.095,1.476,0.678,0.88
389,,0.012,0.784,0.143,6.703,4.597,52.765,0.125,1.19,0.84,0.904
545,,0.008,0.653,0.143,5.691,6.059,79.046,0.086,1.603,0.624,0.878
254,,0.01,0.749,0.144,4.434,3.485,161.565,0.106,1.473,0.679,0.891
323,,0.01,0.731,0.144,4.865,4.016,12.724,0.103,1.385,0.722,0.866
333,,0.009,0.459,0.144,8.006,4.021,118.179,0.095,1.562,0.64,0.837
454,,0.008,0.558,0.144,3.499,5.087,55.305,0.085,1.668,0.6,0.861
474,,0.009,0.775,0.144,2.95,5.192,12.724,0.084,1.705,0.586,0.93
484,,0.009,0.808,0.144,2.233,5.228,151.821,0.096,1.433,0.698,0.928
499,,0.008,0.73,0.144,2.528,5.392,18.435,0.086,1.705,0.586,0.912
508,,0.011,0.79,0.144,2.628,5.559,55.305,0.116,1.146,0.873,0.91
567,,0.009,0.687,0.144,3.363,6.154,108.435,0.089,1.553,0.644,0.915
575,,0.009,0.648,0.144,3.286,6.281,118.179,0.101,1.303,0.768,0.844
44,,0.006,0.357,0.145,4.057,2.065,57.804,0.092,1.397,0.716,0.737
96,,0.009,0.649,0.145,6.494,2.56,75.53,0.09,1.613,0.62,0.861
103,,0.008,0.623,0.145,3.653,2.469,104.47,0.085,1.784,0.561,0.899
294,,0.008,0.727,0.145,8.251,3.73,110.136,0.079,1.913,0.523,0.914
514,,0.009,0.838,0.145,3.672,5.705,75.53,0.091,1.523,0.657,0.944
517,,0.009,0.742,0.145,3.013,5.691,48.814,0.083,1.851,0.54,0.899
577,,0.011,0.778,0.145,3.449,6.385,32.196,0.109,1.377,0.726,0.895
36,,0.008,0.649,0.146,2.709,1.883,106.189,0.095,1.511,0.662,0.885
