 ,Label,Area,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
223,,0.022,0.303,0.293,2.986,3.299,111.801,0.143,2.826,0.354,0.677
258,,0.031,0.316,0.294,5.904,3.526,155.41,0.195,1.487,0.672,0.737
149,,0.027,0.14,0.296,4.302,3.113,49.97,0.248,1.156,0.865,0.527
348,,0.029,0.278,0.296,3.98,4.157,174.726,0.206,1.707,0.586,0.664
41,,0.026,0.281,0.297,4.656,1.947,145.582,0.167,2.137,0.468,0.677
265,,0.032,0.281,0.298,2.36,3.703,8.746,0.217,1.481,0.675,0.682
166,,0.022,0.282,0.305,1.552,3.023,146.547,0.165,2.598,0.385,0.581
571,,0.023,0.427,0.311,5.328,6.245,146.31,0.122,3.084,0.324,0.787
438,,0.028,0.294,0.312,4.112,4.906,132.049,0.157,2.581,0.387,0.706
368,,0.028,0.253,0.314,3.299,4.643,85.03,0.216,1.473,0.679,0.625
206,,0.026,0.387,0.318,2.351,3.286,9.866,0.136,2.746,0.364,0.747
274,,0.028,0.318,0.318,3.059,3.917,86.73,0.162,2.376,0.421,0.718
237,,0.025,0.257,0.319,3.535,3.472,14.826,0.193,1.801,0.555,0.62
285,,0.025,0.264,0.325,3.667,3.835,28.355,0.135,3.109,0.322,0.716
537,,0.021,0.425,0.325,3.853,5.864,120.141,0.105,3.869,0.258,0.808
311,,0.032,0.278,0.327,2.569,3.912,150.945,0.209,2.032,0.492,0.685
518,,0.026,0.239,0.329,7.03,5.605,129.401,0.17,2.456,0.407,0.584
459,,0.025,0.32,0.332,4.525,5.323,57.829,0.128,3.389,0.295,0.726
402,,0.025,0.312,0.339,6.118,4.929,82.304,0.136,3.228,0.31,0.698
585,,0.029,0.302,0.34,4.402,6.531,16.26,0.126,3.315,0.302,0.748
110,,0.03,0.231,0.343,2.728,2.519,101.459,0.185,2.201,0.454,0.618
512,,0.026,0.184,0.343,5.696,5.864,62.418,0.195,2.195,0.456,0.563
48,,0.025,0.223,0.353,6.322,1.983,98.13,0.149,2.774,0.36,0.632
131,,0.041,0.199,0.358,6.635,2.714,120.466,0.213,1.853,0.54,0.712
377,,0.036,0.185,0.363,5.078,4.42,115.925,0.256,1.64,0.61,0.541
452,,0.038,0.224,0.363,2.705,5.001,159.528,0.213,1.892,0.529,0.696
329,,0.042,0.255,0.37,2.237,4.307,59.036,0.234,1.88,0.532,0.641
475,,0.048,0.332,0.371,3.159,5.387,35.049,0.235,1.6,0.625,0.747
179,,0.03,0.155,0.373,6.726,3.063,159.362,0.197,2.188,0.457,0.559
573,,0.032,0.251,0.373,4.888,6.267,145.923,0.175,2.435,0.411,0.677
35,,0.048,0.167,0.389,4.175,2.088,168.559,0.331,1.031,0.97,0.552
287,,0.046,0.167,0.396,3.377,3.699,129.89,0.246,1.783,0.561,0.659
86,,0.034,0.28,0.401,6.104,2.664,52.352,0.148,3.467,0.288,0.722
276,,0.04,0.355,0.406,2.437,3.853,36.357,0.166,3.009,0.332,0.719
527,,0.044,0.148,0.412,6.458,5.805,172.405,0.25,1.721,0.581,0.618
115,,0.033,0.236,0.417,3.971,2.9,43.238,0.171,3.206,0.312,0.634
116,,0.034,0.264,0.425,3.322,2.664,166.409,0.159,3.424,0.292,0.667
542,,0.033,0.21,0.435,3.594,5.913,129.5,0.17,3.57,0.28,0.59
332,,0.045,0.175,0.457,3.454,4.044,127.326,0.216,2.654,0.377,0.555
82,,0.034,0.175,0.464,3.812,2.369,4.485,0.153,3.786,0.264,0.64
59,,0.05,0.141,0.504,4.706,2.337,24.487,0.233,2.644,0.378,0.581
639,Max,0.05,0.887,0.504,8.251,7.865,177.614,0.331,3.916,0.973,0.948
